year,d14c,sig_d14c
1510,8.5,1.8
1511,6.9,1.7
1512,10,1.8
1513,10.5,1.8
1514,10,1.8
1515,8.5,1.6
1516,9.2,1.7
1517,11.6,1.8
1519,6.4,1.9
1520,8.5,1.8
1521,11,2
1522,9.1,2
1523,10.2,1.7
1524,10,1.8
1525,10.6,1.3
1526,12.4,1.8
1527,11.5,1.8
1528,12.6,1.6
1529,12.8,1.8
1530,11.5,1.8
1531,14.3,1.7
1532,14.5,1.3
1533,12.3,1.2
1534,11.1,1.3
1535,12.4,1.2
1536,11.4,1.3
1537,15.6,1.2
1538,12.3,1.3
1539,12.5,1.3
1540,10,1.2
1541,12.1,1.2
1542,10,1.2
1543,10.2,1.6
1544,8.6,1.7
1545,10.9,1.8
1546,8.8,1.8
1547,12.6,1.8
1548,12.1,1.8
1549,11.6,2.1
1550,9.4,1.1
1551,9.7,2
1552,13.2,2.1
1553,7.3,1.8
1554,9.2,1.8
1555,9.3,1.7
1556,9.1,1.8
1557,5.7,1.8
1558,8.5,1.7
1559,7.6,1.8
1560,3.2,1.8
1561,6.9,1.8
1562,5.9,1.7
1563,5.1,1.8
1564,5.5,1.9
1565,7,1.9
1566,8,1.2
1567,5.1,1.3
1568,4.4,1.8
1569,5.6,1.7
1570,6.6,1.8
1571,5.4,1.9
1572,6.3,1.8
1573,7.9,1.9
1574,4.1,1.8
1575,3.9,1.7
1576,1.8,1.8
1577,3.4,1.8
1578,5.2,1.7
1579,2.5,1.7
1580,3.6,1.7
1581,-0.2,1.8
1582,3.1,1.7
1583,4.1,1.7
1584,0.8,1.8
1585,3.7,1.8
1586,2.5,1.7
1587,1.3,1.7
1588,1.1,1.8
1589,3.7,1.7
1590,4.4,1.8
1591,3.7,1.7
1592,-0.3,2
1593,0.5,1.7
1594,2.5,1.8
1595,2.2,1.7
1596,-0.4,1.7
1597,-1.5,1.8
1598,0.5,1.7
1599,-1,1.8
1600,0.8,1.2
1601,-1.5,1.3
1602,-2,1.8
1603,-4.3,1.9
1604,-7.2,1.3
1605,-5.3,1.4
1606,-4.7,1.1
1607,-4.8,2
1608,-3.1,1.4
1609,-3.1,1.6
1610,-2.7,1.8
