ETH year AD,ETH delta14C,ETH delta14C_sig,QL year AD,QL delta14C,QL delta14C_sig,year,d14c,sig_d14c
950,-21.43697227,2.021976953,1510,8.569519168,2.259959087,950,-21.43697227,2.021976953
951,-20.15707873,1.403805361,1511,6.942194575,2.130961945,951,-20.15707873,1.403805361
952,-21.37632737,2.141836303,1512,9.958668718,2.263071833,952,-21.37632737,2.141836303
953,-22.88983523,2.150759258,1513,10.4652593,2.26420698,953,-22.88983523,2.150759258
954,-21.34984758,1.429857603,1514,9.965786182,2.263087782,954,-21.34984758,1.429857603
955,-21.41709915,2.140396749,1515,8.461740768,2.134177716,955,-21.41709915,2.140396749
956,-19.1846126,2.120810734,1516,9.218817442,2.261414006,956,-19.1846126,2.120810734
957,-19.96354773,1.409162473,1517,11.6122553,2.266777119,957,-19.96354773,1.409162473
958,-17.93531491,2.137849577,1519,6.469287573,2.631128475,958,-17.93531491,2.137849577
959,-21.69737317,2.125311594,1520,8.479508148,2.259757394,959,-21.69737317,2.125311594
960,-20.5107993,1.418096152,1521,10.99704032,2.642965,960,-20.5107993,1.418096152
961,-19.96461309,2.141620409,1522,9.114525395,2.638043699,961,-19.96461309,2.141620409
962,-21.42085355,2.106092085,1523,10.1235543,2.263441302,962,-21.42085355,2.106092085
963,-20.44667144,1.563157917,1524,10.00137425,2.263167526,963,-20.44667144,1.563157917
964,-22.24194366,2.114002807,1525,10.50798626,1.692393196,964,-22.24194366,2.114002807
965,-20.09113299,2.132378189,1526,12.40023532,2.26854279,965,-20.09113299,2.132378189
966,-22.34579411,1.556456483,1527,11.52197273,2.266574818,966,-22.34579411,1.556456483
967,-20.30725877,2.130302118,1528,12.53340888,2.142794467,967,-20.30725877,2.130302118
968,-22.1594192,2.150302311,1529,12.78910242,2.269414147,968,-22.1594192,2.150302311
969,-20.4013441,1.168865992,1530,11.53266547,2.266598777,969,-20.4013441,1.168865992
970,-21.28506258,1.321964568,1531,14.31032387,2.146554899,970,-21.28506258,1.321964568
971,-21.41015039,1.32931827,1532,14.50331819,1.699084556,971,-21.41015039,1.32931827
972,-22.32698527,0.982730584,1533,12.23617464,1.559927191,972,-22.32698527,0.982730584
973,-22.45390444,1.320577925,1534,11.23216179,1.693606041,973,-22.45390444,1.320577925
974,-20.06183182,1.327553124,1535,12.30631543,1.603953179,974,-20.06183182,1.327553124
975,-19.20381426,1.008531011,1536,11.42813431,1.693934255,975,-19.20381426,1.008531011
976,-18.00867907,1.392432692,1537,15.53204876,1.565006365,976,-18.00867907,1.392432692
977,-20.43719266,1.389531712,1538,12.38002832,1.695528482,977,-20.43719266,1.389531712
978,-20.00526388,1.003706983,1539,12.06857439,1.742339951,978,-20.00526388,1.003706983
979,-17.23211643,1.411849899,1540,10.18406422,1.600590569,979,-17.23211643,1.411849899
980,-18.30786514,1.391317645,1541,12.20170432,1.514688126,980,-18.30786514,1.391317645
981,-18.11057694,1.003339038,1542,9.939704268,1.600203391,981,-18.11057694,1.003339038
982,-17.87074195,1.396966495,1543,10.19474282,2.137845217,982,-17.87074195,1.396966495
983,-20.18712375,1.391402024,1544,8.690356443,2.260229854,983,-20.18712375,1.391402024
984,-19.89080246,1.015115426,1545,10.95668273,2.26530814,984,-19.89080246,1.015115426
985,-22.13390069,1.428955821,1546,8.823041996,2.511696855,985,-22.13390069,1.428955821
986,-22.98204046,1.445382944,1547,12.6011992,2.268993102,986,-22.98204046,1.445382944
987,-20.26651885,1.008820978,1548,12.10067028,2.267871538,987,-20.26651885,1.008820978
988,-20.66840865,1.415381944,1549,11.60038878,2.770472869,988,-20.66840865,1.415381944
989,-20.87517673,1.413363883,1550,9.674852568,1.409631939,989,-20.87517673,1.413363883
990,-20.45360608,0.794676719,1551,9.720308271,2.639627346,990,-20.45360608,0.794676719
991,-20.59536777,1.044540326,1552,13.24952267,2.648853476,991,-20.59536777,1.044540326
992,-20.67309282,0.936358116,1553,7.341995131,2.257208504,992,-20.67309282,0.936358116
993,-17.03263293,0.821378725,1554,9.228315651,2.26143529,993,-17.03263293,0.821378725
994,-13.29885945,0.942402949,1555,9.35751536,2.136073417,994,-13.29885945,0.942402949
995,-12.74908785,1.037494878,1556,9.109799608,2.512410804,995,-12.74908785,1.037494878
996,-12.30646437,0.881802138,1557,5.602090848,2.503677557,996,-12.30646437,0.881802138
997,-11.98779443,1.037654116,1558,8.488999399,2.259778662,997,-11.98779443,1.037654116
998,-11.17372677,1.032859979,1559,7.488703281,2.257537241,998,-11.17372677,1.032859979
999,-13.73502692,0.885368353,1560,3.112131174,2.49747823,999,-13.73502692,0.885368353
1000,-14.67683478,1.038893899,1561,6.868900364,2.506831571,1000,-14.67683478,1.038893899
1001,-11.03178499,1.727321155,1562,5.870211184,2.253910594,1001,-11.03178499,1.727321155
1002,-14.40273933,1.17911177,1563,5.122729837,2.25223567,1002,-14.40273933,1.17911177
1003,-14.19513086,1.730228794,1564,5.501715559,2.628599032,1003,-14.19513086,1.730228794
1004,-16.18880933,1.759171203,1565,7.00844294,2.507178994,1004,-16.18880933,1.759171203
1005,-18.04150364,1.180765889,1566,8.140858054,1.597353202,1005,-18.04150364,1.180765889
1006,-18.35512499,1.751726706,1567,3.823932276,1.681198779,1006,-18.35512499,1.751726706
1007,-20.94580537,1.773646602,1568,4.389960248,2.500659679,1007,-20.94580537,1.773646602
1008,-17.20193899,1.203624989,1569,5.644612169,2.253405081,1008,-17.20193899,1.203624989
1009,-18.2026909,1.773616012,1570,6.524864909,2.505975015,1009,-18.2026909,1.773616012
1010,-16.59106259,1.670660235,1571,5.40135029,2.503177767,1010,-16.59106259,1.670660235
1011,-17.21498138,1.152185865,1572,6.2813901,2.254831946,1011,-17.21498138,1.152185865
1012,-16.86099516,1.661684038,1573,7.914749773,2.509435453,1012,-16.86099516,1.661684038
1013,-16.40922527,1.661951589,1574,4.036158209,2.249800927,1013,-16.40922527,1.661951589
1014,-16.11823656,1.150875505,1575,3.914714465,2.249528801,1014,-16.11823656,1.150875505
1015,-18.59616727,1.672749602,1576,1.795935918,2.244781134,1015,-18.59616727,1.672749602
1016,-18.79266791,1.682012557,1577,3.297110251,2.497938778,1016,-18.79266791,1.682012557
1017,-17.64056842,1.153786392,1578,5.175856432,2.252354714,1017,-17.64056842,1.153786392
